 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
メモリーユニオン,,牡2,不在,(栗)大久保龍, 0- 0- 0- 0,0,ファンタスティックライト,メモリーキセキ,シンザンクラブ,成隆牧場,浦河町,,2012,4月21日,2012105312,,冠名＋組合,"Memory Union"
ドルメロ,,牡2,在厩,(栗)庄野靖志, 0- 0- 0- 0,0,エンパイアメーカー,チェリーエンジェル,諏訪守,高村牧場,浦河町,,2012,4月30日,2012105331,1207.5万円,イタリアの名馬産家フェデリコテシオの経営していた牧場名より,Dormello
メイショウワダイコ,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,キンシャサノキセキ,フミノオリヒメ,松本好雄,多田善弘,浦河町,,2012,5月17日,2012105337,1050万円,冠名＋和太鼓,"Meisho Wadaiko"
シングルバレル,,牡2,不在,(美)田中清隆, 0- 0- 0- 0,0,バゴ,アワーオアシス,芹澤精一,谷川牧場,浦河町,,2012,3月24日,2012105348,,単一樽のバーボンウイスキー,"Single Barrel"
メモリーデシジョン,,牡2,不在,(栗)角田晃一, 0- 0- 0- 0,0,ディープスカイ,メモリーフローラ,シンザンクラブ,谷川牧場,浦河町,,2012,3月20日,2012105362,,冠名＋決定,"Memory Decision"
スパツィオ,,牡2,不在,(美)上原博之, 0- 0- 0- 0,0,アルデバラン2,エスジーボナンザ,辻牧場,辻牧場,浦河町,,2012,3月5日,2012105396,,宇宙（伊）。宇宙の様な無限の活躍を期待,Spazio
ヴェルトフリーデン,,牡2,不在,(美)田中剛, 0- 0- 0- 0,0,シニスターミニスター,リーチトゥピース,ヒダカ・ブリーダーズ・ユニオン,辻牧場,浦河町,,2012,4月21日,2012105417,,世界平和（独）。母名より連想,Weltfrieden
スズカディープ,,牡2,不在,(栗)橋田満, 0- 0- 0- 0,0,ディープインパクト,ローマンスズカ2,永井啓弍,辻牧場,浦河町,,2012,3月22日,2012105419,,冠名＋父名の一部,"Suzuka Deep"
タイセイストーム,,牡2,不在,(美)新開幸一, 0- 0- 0- 0,0,スタチューオブリバティ,スベトラーナ,田中成奉,富田牧場,浦河町,,2012,3月27日,2012105434,903万円,冠名＋父父名の一部,"Taisei Storm"
テイケイネクサス,,牡2,不在,(美)蛯名利弘, 0- 0- 0- 0,0,フォーティナイナーズサン,ヒダカナデシコ,兼松忠男,中脇満,浦河町,,2012,4月8日,2012105454,105万円,冠名＋個人どうしの結びつき,"T K Nexus"
ロープアドープ,,牡2,在厩,(栗)白井寿昭, 0- 0- 0- 0,0,キンシャサノキセキ,フィールソーナイス,ヒダカ・ブリーダーズ・ユニオン,日進牧場,浦河町,,2012,5月23日,2012105468,,モハメドアリがキンシャサでジョージフォアマンを破った時の戦法,"Rope a Dope"
デンコウコテツ,,牡2,不在,(栗)中村均, 0- 0- 0- 0,0,バゴ,パピュラ,田中康弘,日の出牧場,浦河町,,2012,4月4日,2012105497,535.5万円,冠名＋虎徹。江戸時代の刀工、切れ味鋭い名刀,"Denko Kotetsu"
トーホウボルト,,牡2,不在,(美)古賀史生, 0- 0- 0- 0,0,グラスワンダー,トーホウグリーン,東豊物産,ビクトリーホースランチ,浦河町,,2012,4月13日,2012105511,,冠名＋人名より,"Toho Bolt"
サルバドールガロ,,牡2,不在,(美)尾形和幸, 0- 0- 0- 0,0,スウィフトカレント,リンデンルレーブ,中山牧場,福田牧場,浦河町,,2012,3月12日,2012105515,,救世主（西）＋人名より,"Salvador Gallo"
キクノコール,,牡2,在厩,(栗)吉田直弘, 0- 0- 0- 0,0,エンパイアメーカー,キクノディアナ,菊池五郎,松田憲一,浦河町,,2012,4月26日,2012105525,,冠名＋呼ぶ,"Kikuno Call"
キクノステラ,,牡2,不在,(栗)野中賢二, 0- 0- 0- 0,0,エンパイアメーカー,キクノハヤブサ,菊池五郎,松田憲一,浦河町,,2012,4月10日,2012105526,,冠名＋一番星,"Kikuno Stellar"
モズレッドファーム,,牡2,在厩,(栗)南井克巳, 0- 0- 0- 0,0,バゴ,スマートシャワー,北側雅司,松田牧場,浦河町,,2012,3月2日,2012105532,535.5万円,冠名＋赤畑（大阪府の地名より）,"Mozu Red Farm"
リリーヴィクトリー,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,マンハッタンカフェ,マルヴァーンスプリング,土井孝夫,三嶋牧場,浦河町,,2012,2月28日,2012105587,,冠名＋勝利,"Lily Victory"
ネブカドネザル,,牡2,不在,(美)高橋祥泰, 0- 0- 0- 1,0,フォーティナイナーズサン,コスモメルベーユ,ミルファーム,ミルファーム,浦河町,,2012,5月7日,2012105633,,バビロニア王名より。版画名より,Nebuchadnezzar
バトルボンネビル,,牡2,不在,(栗)森田直行, 0- 0- 0- 0,0,ヴリル,ミナミノエレガンス,宮川秋信,山田昇史,浦河町,,2012,4月5日,2012105672,315万円,冠名＋車で世界一のスピードを競うアメリカの塩の平原,"Battle Bonneville"
コスモスピカ,,牡2,不在,(美)金成貴史, 0- 0- 0- 0,0,ブラックタイド,シュガースポット,ビッグレッドファーム,秋場牧場,浦河町,,2012,4月6日,2012105711,367.5万円,冠名＋恒星名,"Cosmo Spica"
シテール,,牡2,在厩,(美)二本柳俊, 0- 0- 0- 1,0,ボストンハーバー,サダムヴィーナス,ミルファーム,市正牧場,浦河町,,2012,5月15日,2012105732,126万円,ギリシア神話のビーナスが流れついた地中海の島名,Cythere
シゲルケンカヤマ,,牡2,不在,(美)和田雄二, 1- 0- 0- 0,400,ストーミングホーム,シゲルキリガミネ,森中蕃,馬道繁樹,浦河町,,2012,5月20日,2012105740,,冠名＋祭名「ケンカヤマ曳山祭（富山）」より,"Shigeru Kenkayama"
トミケンアユート,,牡2,不在,(栗)小崎憲, 0- 0- 0- 0,0,ファスリエフ,モカモカ,冨樫賢二,梅田牧場,浦河町,,2012,4月30日,2012105753,,冠名＋応援（伊）,"Tomiken Aiuto"
チェリーポセイドン,,牡2,不在,(美)大和田成, 0- 0- 0- 1,0,チーフベアハート,ブイエクスプレス,櫻井悦朗,北俣牧夫,浦河町,,2012,4月16日,2012105817,,冠名＋ギリシャ神話の神,"Cherry Poseidon"
メイショウアバラガ,,牡2,不在,(栗)白井寿昭, 0- 0- 0- 0,0,エンパイアメーカー,オールオールオール,松本好雄,高昭牧場,浦河町,,2012,3月27日,2012105845,2100万円,冠名＋横綱（モンゴル語）,"Meisho Avarga"
ジューンロディ,,牡2,在厩,(栗)今野貞一, 0- 0- 0- 1,0,メイショウボーラー,ホッコーシャープ,吉川潤,高昭牧場,浦河町,,2012,3月23日,2012105880,1365万円,冠名＋人名より,"June Roddy"
カネトシバリアント,,牡2,不在,(栗)白井寿昭, 0- 0- 0- 0,0,タイキシャトル,ルスナイサンバ,兼松利男,高昭牧場,浦河町,,2012,2月3日,2012105892,1417.5万円,冠名＋勇敢な,"Kanetoshi Valiant"
スズカノーチラス,,牡2,不在,(栗)藤沢則雄, 0- 0- 0- 0,0,アドマイヤマックス,アウトゥリーチェ,永井啓弍,大北牧場,浦河町,,2012,3月25日,2012105949,861万円,冠名＋潜水艦名,"Suzuka Nautilus"
パワーポケット,,牡2,不在,(美)二ノ宮敬, 0- 0- 0- 0,0,エンパイアメーカー,タカラグリーン,ダイヤモンドファーム,ダイヤモンドファーム,浦河町,,2012,4月1日,2012105979,,力＋地点。最高の地点,"Power Pocket"
シゲルノマオイ,,牡2,在厩,(美)松永康利, 0- 0- 0- 0,0,ストーミングホーム,シゲルホープ,森中蕃,中村雅明,浦河町,,2012,3月1日,2012106005,,冠名＋祭名「相馬野馬追（福島）」より,"Shigeru Nomaoi"
ミスズダンディー,,牡2,不在,(栗)加藤敬二, 0- 0- 0- 0,0,アドマイヤムーン,ティコティコタック,永井啓弍,バンブー牧場,浦河町,,2012,2月13日,2012106040,2100万円,冠名＋ダンディ,"Misuzu Dandy"
バンブーキングペレ,,牡2,不在,(栗)佐藤正雄, 0- 0- 0- 0,0,マヤノトップガン,バンビーナココ,バンブー牧場,バンブー牧場,浦河町,,2012,2月26日,2012106043,,冠名＋王＋人名愛称,"Bamboo King Pele"
スマイルフォース,,牡2,不在,(栗)森田直行, 0- 0- 0- 0,0,バトルプラン,ジョイフルスマイル,上茶谷一,ヒダカフアーム,浦河町,,2012,3月13日,2012106055,,えがおの力,"Smile Force"
トゥルースナイト,,牡2,不在,(美)粕谷昌央, 0- 0- 0- 0,0,ブラックタイド,チェイルリー,ターフ・スポート,村下農場,浦河町,,2012,3月16日,2012106112,,真実＋騎士。本馬のイメージより連想,"Truth Knight"
レオアジリティー,,牡2,不在,(美)萱野浩二, 0- 0- 0- 0,0,スペシャルウィーク,ミルダイヤ,レオ,鎌田正嗣,浦河町,,2012,2月26日,2012106206,808.5万円,冠名＋機敏さ、軽快さ,"Leo Agility"
サカダッシュ,,牡2,在厩,(栗)岡田稲男, 0- 0- 0- 1,0,ローレルゲレイロ,デュランティ,一村哲也,ダイヤモンドファーム,浦河町,,2012,5月11日,2012106220,210万円,坂ダッシュ,"Saka Dash"
ビッグスペンダー,,牡2,不在,(栗)日吉正和, 0- 0- 0- 0,0,ネオユニヴァース,キーチェスターバーン,中辻明,パカパカファーム,新冠町,,2012,1月30日,2012106227,850.5万円,金遣いの荒い人,"Big Spender"
グディーズタイガー,,牡2,不在,(栗)中村均, 0- 0- 0- 0,0,アドマイヤムーン,シルキーグルーヴ,田島大史,オリエント牧場,新冠町,,2012,3月1日,2012106233,1260万円,すごい（子供が喜びを表して）＋トラ,"Goody's Tiger"
リターンストローク,,牡2,不在,(美)和田正道, 0- 0- 1- 1,0,キンシャサノキセキ,フラワリーウーフ,スピードファーム,土田和男,新ひだか町,,2012,4月30日,2012106277,525万円,稲妻の帰還電撃,"Return Stroke"
ウイングジャパン,,牡2,不在,(栗)中村均, 0- 0- 0- 0,0,エイシンデピュティ,ドゥオナー,池田實,増本良孝,新ひだか町,,2012,6月2日,2012106322,136.5万円,翼＋日本,"Wing Japan"
メイショウゲントク,,牡2,在厩,(栗)池添兼雄, 0- 0- 0- 0,0,フレンチデピュティ,ディープスマート,松本好雄,赤田牧場,浦河町,,2012,5月4日,2012106346,,冠名＋玄徳。深遠な徳、奥深い徳,"Meisho Gentoku"
ルパン,,牡2,在厩,(美)小桧山悟, 0- 0- 0- 2,0,パイロ,シアトルギャル,宮坂五十四,三好牧場,浦河町,,2012,5月1日,2012106373,,人名より,Lupin
ワンダージンテーゼ,,牡2,不在,(栗)佐藤正雄, 0- 0- 0- 0,0,ワンダースピード,キクノロマニー,山本信行,フクダファーム,新ひだか町,,2012,5月9日,2012106376,,冠名＋統一（独）,"Wonder Synthese"
ニンニクマン,,牡2,在厩,(美)高橋祥泰, 0- 0- 0- 0,0,シンボリクリスエス,メガクラム,小田切光,山本通則,日高町,,2012,3月16日,2012106432,,にんにく男,"Ninniku Man"
スリーキンシャサ,,牡2,不在,(栗)南井克巳, 0- 0- 0- 0,0,キンシャサノキセキ,エアシビュラ,永井商事,石田英機,青森県,,2012,4月17日,2012109003,735万円,冠名＋父名の一部,"Three Kinshasa"
マイネルリアン,,牡2,在厩,(美)伊藤大士, 0- 0- 0- 1,0,ソングオブウインド,クレバークレバー,サラブレッドクラブ・ラフィアン,マルシチ牧場,青森県,,2012,3月10日,2012109056,630万円,冠名＋絆（仏）,"Meiner Lien"
ショウナンライコウ,,牡2,在厩,(美)古賀史生, 0- 0- 0- 1,0,サクラバクシンオー,ジュアンレパン,国本哲秀,シンボリ牧場,日高町,,2012,3月7日,2012109103,1102.5万円,冠名＋雷光,"Shonan Raiko"
グランデコマンド,,牡2,在厩,(栗)高橋康之, 0- 0- 0- 0,0,ダンディコマンド,スティルヘブン,グランデオーナーズ,吉永ファーム,鹿児島県,,2012,3月25日,2012109209,,冠名＋父名の一部,"Grande Command"
ストーンウェア,,牡2,不在,(栗)吉田直弘, 0- 0- 0- 0,0,Birdstone,"Antique Auction",吉田照哉,"Shadai Farm",米,(外),2012,1月30日,2012110001,,せっ器、陶磁器の一種,Stoneware(USA)
ウインエアフォース,,牡2,不在,(栗)西園正都, 0- 0- 0- 0,0,"Indian Charlie","Henderson Band",ウイン,"Brereton C. Jones",米,(外),2012,4月29日,2012110026,,冠名＋空軍。空中を飛ぶような身軽なレースぶりを期待,"Win Air Force(USA)"
タガノハーデス,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,ブライアンズタイム,タガノユニヴァース,八木良司,新冠タガノファーム,新冠町,,2012,3月9日,2012100514,,冠名＋ギリシャ神話の冥府の神,"Tagano Hades"
タガノアラシ,,牡2,不在,(栗)鈴木孝志, 0- 0- 0- 1,0,ヴァーミリアン,ファウンテンリズム,八木良司,新冠タガノファーム,新冠町,,2012,2月7日,2012100524,,冠名＋嵐,"Tagano Arashi"
タケデンタイガー,,牡2,在厩,(美)武市康男, 1- 1- 0- 0,400,フレンチデピュティ,タケデンプラザ,武市弘,新冠橋本牧場,新冠町,,2012,2月21日,2012100545,,冠名＋タイガー,"Takeden Tiger"
トゥラクレス,,牡2,在厩,(栗)沖芳夫, 0- 0- 0- 0,0,タニノギムレット,デューティ,ノースヒルズ,ノースヒルズ,新冠町,,2012,4月16日,2012100602,,人跡未踏の,Trackless
ウインエスパシオ,谷,牡2,不在,(美)畠山吉宏, 0- 0- 1- 0,0,ネオユニヴァース,ラストパートナー,ウイン,ハクツ牧場,新冠町,,2012,4月9日,2012100637,745.5万円,冠名＋宇宙（西）。父名より連想。父のような活躍を期待,"Win Espacio"
タカラレジェンド,,牡2,不在,(美)伊藤正徳, 0- 0- 0- 1,0,ファルブラヴ,マルディグラ,村山義男,大栄牧場,新冠町,,2012,6月15日,2012100983,,冠名＋伝説,"Takara Legend"
レジェンドパワー,,牡2,不在,(美)中野栄治, 0- 0- 0- 0,0,ジークエンブレム,プリンセスゴーラン,西村新一郎,旭牧場,日高町,,2012,3月2日,2012100996,105万円,伝説的人物＋力,"Legend Power"
アポロノシンザン,,牡2,在厩,(美)堀井雅広, 0- 0- 1- 0,0,サクラバクシンオー,アポロジャスミン,アポロサラブレッドクラブ,天羽禮治,日高町,,2012,3月25日,2012101013,,冠名＋晋山（山へ進む）,"Apollo no Shinzan"
ウイズキッド,,牡2,不在,(美)武藤善則, 0- 0- 0- 1,0,タイキシャトル,フィールドソング,井上一郎,いとう牧場,日高町,,2012,4月25日,2012101062,,怪物青年,"Whiz Kid"
トーセンユニバース,,牡2,不在,(美)木村哲也, 0- 0- 0- 0,0,トーセンファントム,トーセンスクリュー,島川隆哉,エスティファーム,日高町,,2012,3月17日,2012101099,,冠名＋宇宙、万物,"Tosen Universe"
トミケンシェルフ,,牡2,在厩,(美)武井亮, 0- 0- 0- 0,0,サイレントディール,アグリフェスタ,冨樫賢二,沖田牧場,日高町,,2012,2月27日,2012101132,210万円,冠名＋栄光（トルコ語）,"Tomiken Seref"
キョウエイプライド,,牡2,在厩,(美)伊藤伸一, 0- 0- 0- 0,0,カネヒキリ,ビアンコ,田中晴夫,春木昭雄,日高町,,2012,4月19日,2012101788,,冠名＋誇り高い,"Kyoei Pride"
ロードメタリック,,牡2,不在,(美)小島茂之, 0- 0- 0- 0,0,ワイルドラッシュ,ジャックカガヤキ,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,1月29日,2012102297,,冠名＋金属の,"Lord Metallic"
ラミーロ,,牡2,不在,(美)和田雄二, 1- 0- 0- 0,400,アサクサデンエン,アラハ,門野重雄,原口牧場,新ひだか町,,2012,4月14日,2012102453,,歌劇「偽の女庭師」の登場人物名,Ramiro
ブラックバスター,,牡2,不在,(美)高柳瑞樹, 0- 0- 0- 0,0,ブラックタイド,ファーストサイト,杉山忠国,明治牧場,新ひだか町,,2012,4月7日,2012102598,,黒＋撃退者,"Black Buster"
